Continent,country,years,subject,asab,val,total_pop,pop_with_given_ed_mil
Oceania,AUS,2000,NONE,MEN,34.25904300000000,9.443465,3.235240735039950
Oceania,AUS,2000,NONE,WOMEN,48.123203000000000,9.585337,4.612771182744110
Oceania,AUS,2000,TRY,MEN,26.104818,9.443465,2.4651993511437
Oceania,AUS,2000,TRY,WOMEN,28.838318,9.585337,2.7642499654316600
Oceania,AUS,2000,UPPSRY,MEN,39.636139,9.443465,3.74302491381635
Oceania,AUS,2000,UPPSRY,WOMEN,23.038479,9.585337,2.20831585182423
Europe,BEL,2000,NONE,MEN,41.293152000000000,5.012012,2.0696177334182400
Europe,BEL,2000,NONE,WOMEN,41.662346,5.239235,2.1827882134531
Europe,BEL,2000,TRY,MEN,26.565285,5.012012,1.3314552720342
Europe,BEL,2000,TRY,WOMEN,27.610184,5.239235,1.4465624236924
Europe,BEL,2000,UPPSRY,MEN,32.141563,5.012012,1.6109389945475600
Europe,BEL,2000,UPPSRY,WOMEN,30.72747,5.239235,1.6098843628545
N America,CAN,2000,NONE,MEN,19.90966800000000,15.193812,3.0250375257441600
N America,CAN,2000,NONE,WOMEN,18.759842000000000,15.491918,2.906259339569560
N America,CAN,2000,TRY,MEN,37.658691,15.193812,5.72179071220092
N America,CAN,2000,TRY,WOMEN,42.533607,15.491918,6.58927151888226
N America,CAN,2000,UPPSRY,MEN,42.431641,15.193812,6.446983762054920
N America,CAN,2000,UPPSRY,WOMEN,38.706551,15.491918,5.99638714154818
Europe,CHE,2000,NONE,MEN,11.951687000000000,3.510203,0.41952847562461000
Europe,CHE,2000,NONE,WOMEN,20.282716000000000,3.674047,0.7451965187165200
Europe,CHE,2000,TRY,MEN,33.931194,3.510203,1.19105378972382
Europe,CHE,2000,TRY,WOMEN,14.438147,3.674047,0.5304643067090900
Europe,CHE,2000,UPPSRY,MEN,54.117119,3.510203,1.89962073465157
Europe,CHE,2000,UPPSRY,WOMEN,65.279137,3.674047,2.3983861745743900
Europe,CRI,2000,NONE,MEN,70.530405,1.961351,1.3833488037715500
Europe,CRI,2000,NONE,WOMEN,68.750962,1.910998,1.31382950880076
Europe,CRI,2000,TRY,MEN,16.567589,1.961351,0.32494857252739000
Europe,CRI,2000,TRY,WOMEN,16.3312,1.910998,0.312088905376
Europe,CRI,2000,UPPSRY,MEN,12.902006,1.961351,0.25305362370106
Europe,CRI,2000,UPPSRY,WOMEN,14.917838,1.910998,0.28507958582324
Europe,CZE,2000,NONE,MEN,9.015612000000000,4.999326,0.45071983477512000
Europe,CZE,2000,NONE,WOMEN,19.057752000000000,5.273177,1.0049489951810400
Europe,CZE,2000,TRY,MEN,12.656393,4.999326,0.6327343459111800
Europe,CZE,2000,TRY,WOMEN,9.284236,5.273177,0.48957419737772000
Europe,CZE,2000,UPPSRY,MEN,78.327995,4.999326,3.9158718193137
Europe,CZE,2000,UPPSRY,WOMEN,71.658012,5.273177,3.77865380744124
Europe,DEU,2000,NONE,MEN,13.737602000000000,40.123653,5.512027757001060
Europe,DEU,2000,NONE,WOMEN,22.913398,42.087848,9.643756121875040
Europe,DEU,2000,TRY,MEN,28.557259,40.123653,11.458215507471300
Europe,DEU,2000,TRY,WOMEN,18.325188,42.087848,7.712677271154240
Europe,DEU,2000,UPPSRY,MEN,57.705139,40.123653,23.15340973552770
Europe,DEU,2000,UPPSRY,WOMEN,58.761414,42.087848,24.73141460697070
Europe,DNK,2000,NONE,MEN,18.462041,2.637878,0.48700611788998
Europe,DNK,2000,NONE,WOMEN,22.044992000000000,2.699466,0.5950970637427200
Europe,DNK,2000,TRY,MEN,24.432135,2.637878,0.6444899140953
Europe,DNK,2000,TRY,WOMEN,27.176115,2.699466,0.7336099845459000
Europe,DNK,2000,UPPSRY,MEN,57.105824,2.637878,1.50638196801472
Europe,DNK,2000,UPPSRY,WOMEN,50.778893,2.699466,1.3707589517113800
Europe,ESP,2000,NONE,MEN,60.149362000000000,19.868636,11.950857792102300
Europe,ESP,2000,NONE,WOMEN,62.656817000000000,20.685751,12.961033149145700
Europe,ESP,2000,TRY,MEN,23.551453,19.868636,4.6793524692810800
Europe,ESP,2000,TRY,WOMEN,21.862101,20.685751,4.5223397762285100
Europe,ESP,2000,UPPSRY,MEN,16.299185,19.868636,3.2384257386166
Europe,ESP,2000,UPPSRY,WOMEN,15.481082,20.685751,3.20237807462582
Europe,EST,2000,NONE,MEN,17.346018,0.651075,0.11293558669350000
Europe,EST,2000,NONE,WOMEN,12.403816000000000,0.74591,0.09252130392560000
Europe,EST,2000,TRY,MEN,21.464544,0.651075,0.13975027984800000
Europe,EST,2000,TRY,WOMEN,35.187653,0.74591,0.26246822249230000
Europe,EST,2000,UPPSRY,MEN,61.189438,0.651075,0.3983891334585
Europe,EST,2000,UPPSRY,WOMEN,52.408531,0.74591,0.3909204735821
Europe,FIN,2000,NONE,MEN,28.372537000000000,2.526181,0.7167416389119700
Europe,FIN,2000,NONE,WOMEN,25.280655000000000,2.650022,0.6699429192441000
Europe,FIN,2000,TRY,MEN,29.40193,2.526181,0.7427459692933
