edu_attain_final,,,,,,,
Continent,country,years,subject,asab,val,total_pop,pop_with_given_ed_mil
Oceania,AUS,2000,NONE,MEN,34.259043,9.443465,3.235240735
Oceania,AUS,2000,NONE,WOMEN,48.123203,9.585337,4.612771183
Oceania,AUS,2000,TRY,MEN,26.104818,9.443465,2.465199351
Oceania,AUS,2000,TRY,WOMEN,28.838318,9.585337,2.764249965
Oceania,AUS,2000,UPPSRY,MEN,39.636139,9.443465,3.743024914
Oceania,AUS,2000,UPPSRY,WOMEN,23.038479,9.585337,2.208315852
Europe,BEL,2000,NONE,MEN,41.293152,5.012012,2.069617733
Europe,BEL,2000,NONE,WOMEN,41.662346,5.239235,2.182788213
Europe,BEL,2000,TRY,MEN,26.565285,5.012012,1.331455272
Europe,BEL,2000,TRY,WOMEN,27.610184,5.239235,1.446562424
Europe,BEL,2000,UPPSRY,MEN,32.141563,5.012012,1.610938995
Europe,BEL,2000,UPPSRY,WOMEN,30.72747,5.239235,1.609884363
N America,CAN,2000,NONE,MEN,19.909668,15.193812,3.025037526
N America,CAN,2000,NONE,WOMEN,18.759842,15.491918,2.90625934
N America,CAN,2000,TRY,MEN,37.658691,15.193812,5.721790712
N America,CAN,2000,TRY,WOMEN,42.533607,15.491918,6.589271519
N America,CAN,2000,UPPSRY,MEN,42.431641,15.193812,6.446983762
N America,CAN,2000,UPPSRY,WOMEN,38.706551,15.491918,5.996387142
Europe,CHE,2000,NONE,MEN,11.951687,3.510203,0.419528476
Europe,CHE,2000,NONE,WOMEN,20.282716,3.674047,0.745196519
Europe,CHE,2000,TRY,MEN,33.931194,3.510203,1.19105379
Europe,CHE,2000,TRY,WOMEN,14.438147,3.674047,0.530464307
Europe,CHE,2000,UPPSRY,MEN,54.117119,3.510203,1.899620735
Europe,CHE,2000,UPPSRY,WOMEN,65.279137,3.674047,2.398386175
Europe,CRI,2000,NONE,MEN,70.530405,1.961351,1.383348804
Europe,CRI,2000,NONE,WOMEN,68.750962,1.910998,1.313829509
Europe,CRI,2000,TRY,MEN,16.567589,1.961351,0.324948573
Europe,CRI,2000,TRY,WOMEN,16.3312,1.910998,0.312088905
Europe,CRI,2000,UPPSRY,MEN,12.902006,1.961351,0.253053624
Europe,CRI,2000,UPPSRY,WOMEN,14.917838,1.910998,0.285079586
Europe,CZE,2000,NONE,MEN,9.015612,4.999326,0.450719835
Europe,CZE,2000,NONE,WOMEN,19.057752,5.273177,1.004948995
Europe,CZE,2000,TRY,MEN,12.656393,4.999326,0.632734346
Europe,CZE,2000,TRY,WOMEN,9.284236,5.273177,0.489574197
Europe,CZE,2000,UPPSRY,MEN,78.327995,4.999326,3.915871819
Europe,CZE,2000,UPPSRY,WOMEN,71.658012,5.273177,3.778653807
