LOCATION,INDICATOR,SUBJECT,ASAB,FREQUENCY,TIME,Value,Flag Codes
AUS,EDUADULT,TRY,MEN,A,2000,26.104818,
AUS,EDUADULT,TRY,MEN,A,2001,27.158642,
AUS,EDUADULT,TRY,MEN,A,2002,29.45257,
AUS,EDUADULT,TRY,MEN,A,2003,29.933653,
AUS,EDUADULT,TRY,MEN,A,2004,29.046274,
AUS,EDUADULT,TRY,MEN,A,2005,30.226416,
AUS,EDUADULT,TRY,MEN,A,2006,30.650082,
AUS,EDUADULT,TRY,MEN,A,2007,31.389452,
AUS,EDUADULT,TRY,MEN,A,2008,33.012062,
AUS,EDUADULT,TRY,MEN,A,2009,33.912621,
AUS,EDUADULT,TRY,MEN,A,2010,34.390091,
AUS,EDUADULT,TRY,MEN,A,2011,34.573837,
AUS,EDUADULT,TRY,MEN,A,2012,37.532192,
AUS,EDUADULT,TRY,MEN,A,2013,35.101803,
AUS,EDUADULT,TRY,MEN,A,2014,38.390442,
AUS,EDUADULT,TRY,MEN,A,2015,38.441013,
AUS,EDUADULT,TRY,MEN,A,2016,39.76762,
AUS,EDUADULT,TRY,MEN,A,2017,40.425915,
AUS,EDUADULT,TRY,MEN,A,2018,40.441612,
AUS,EDUADULT,TRY,MEN,A,2019,42.475243,
AUS,EDUADULT,TRY,MEN,A,2020,44.057648,
AUS,EDUADULT,TRY,WOMEN,A,2000,28.838318,
AUS,EDUADULT,TRY,WOMEN,A,2001,30.789335,
AUS,EDUADULT,TRY,WOMEN,A,2002,32.061394,
AUS,EDUADULT,TRY,WOMEN,A,2003,32.682934,
AUS,EDUADULT,TRY,WOMEN,A,2004,32.562542,
AUS,EDUADULT,TRY,WOMEN,A,2005,33.12809,
AUS,EDUADULT,TRY,WOMEN,A,2006,35.344658,
AUS,EDUADULT,TRY,WOMEN,A,2007,36.054111,
AUS,EDUADULT,TRY,WOMEN,A,2008,39.232346,
AUS,EDUADULT,TRY,WOMEN,A,2009,39.784927,
AUS,EDUADULT,TRY,WOMEN,A,2010,40.772198,
AUS,EDUADULT,TRY,WOMEN,A,2011,42.043972,
AUS,EDUADULT,TRY,WOMEN,A,2012,44.97641,
AUS,EDUADULT,TRY,WOMEN,A,2013,43.913063,
AUS,EDUADULT,TRY,WOMEN,A,2014,45.340527,
AUS,EDUADULT,TRY,WOMEN,A,2015,47.239651,
AUS,EDUADULT,TRY,WOMEN,A,2016,47.630001,
AUS,EDUADULT,TRY,WOMEN,A,2017,50.127247,
AUS,EDUADULT,TRY,WOMEN,A,2018,50.837093,
AUS,EDUADULT,TRY,WOMEN,A,2019,51.648521,
AUS,EDUADULT,TRY,WOMEN,A,2020,54.412212,
AUS,EDUADULT,UPPSRY,MEN,A,2000,39.636139,
AUS,EDUADULT,UPPSRY,MEN,A,2001,38.641632,
AUS,EDUADULT,UPPSRY,MEN,A,2002,37.945316,
AUS,EDUADULT,UPPSRY,MEN,A,2003,38.530304,
AUS,EDUADULT,UPPSRY,MEN,A,2004,40.685963,
AUS,EDUADULT,UPPSRY,MEN,A,2005,39.643417,
AUS,EDUADULT,UPPSRY,MEN,A,2006,40.302822,
AUS,EDUADULT,UPPSRY,MEN,A,2007,40.850765,
AUS,EDUADULT,UPPSRY,MEN,A,2008,40.196865,
AUS,EDUADULT,UPPSRY,MEN,A,2009,39.860394,
AUS,EDUADULT,UPPSRY,MEN,A,2010,41.213478,
AUS,EDUADULT,UPPSRY,MEN,A,2011,40.957253,
AUS,EDUADULT,UPPSRY,MEN,A,2012,40.394192,
AUS,EDUADULT,UPPSRY,MEN,A,2013,41.56715,
AUS,EDUADULT,UPPSRY,MEN,A,2014,40.178089,
AUS,EDUADULT,UPPSRY,MEN,A,2015,41.919979,
AUS,EDUADULT,UPPSRY,MEN,A,2016,40.824184,
AUS,EDUADULT,UPPSRY,MEN,A,2017,41.172245,
AUS,EDUADULT,UPPSRY,MEN,A,2018,41.90353,
AUS,EDUADULT,UPPSRY,MEN,A,2019,40.558659,
AUS,EDUADULT,UPPSRY,MEN,A,2020,39.753174,
AUS,EDUADULT,UPPSRY,WOMEN,A,2000,23.038479,
AUS,EDUADULT,UPPSRY,WOMEN,A,2001,21.283302,
AUS,EDUADULT,UPPSRY,WOMEN,A,2002,22.467733,
AUS,EDUADULT,UPPSRY,WOMEN,A,2003,23.864265,
AUS,EDUADULT,UPPSRY,WOMEN,A,2004,26.065086,
AUS,EDUADULT,UPPSRY,WOMEN,A,2005,27.157965,
AUS,EDUADULT,UPPSRY,WOMEN,A,2006,27.211617,
AUS,EDUADULT,UPPSRY,WOMEN,A,2007,28.12381,
AUS,EDUADULT,UPPSRY,WOMEN,A,2008,27.488646,
AUS,EDUADULT,UPPSRY,WOMEN,A,2009,28.55728,
AUS,EDUADULT,UPPSRY,WOMEN,A,2010,30.073294,
AUS,EDUADULT,UPPSRY,WOMEN,A,2011,30.60544,
AUS,EDUADULT,UPPSRY,WOMEN,A,2012,29.992727,
AUS,EDUADULT,UPPSRY,WOMEN,A,2013,30.863087,
AUS,EDUADULT,UPPSRY,WOMEN,A,2014,30.329605,
AUS,EDUADULT,UPPSRY,WOMEN,A,2015,30.466787,
AUS,EDUADULT,UPPSRY,WOMEN,A,2016,31.658438,
AUS,EDUADULT,UPPSRY,WOMEN,A,2017,30.268877,
AUS,EDUADULT,UPPSRY,WOMEN,A,2018,30.615618,
AUS,EDUADULT,UPPSRY,WOMEN,A,2019,31.057135,
AUS,EDUADULT,UPPSRY,WOMEN,A,2020,29.289186,
AUT,EDUADULT,TRY,MEN,A,2004,28.642731,
AUT,EDUADULT,TRY,MEN,A,2005,27.894495,
AUT,EDUADULT,TRY,MEN,A,2006,28.601042,
AUT,EDUADULT,TRY,MEN,A,2007,28.065239,
AUT,EDUADULT,TRY,MEN,A,2008,28.911415,
AUT,EDUADULT,TRY,MEN,A,2009,29.133034,
AUT,EDUADULT,TRY,MEN,A,2010,29.628262,
AUT,EDUADULT,TRY,MEN,A,2011,29.97986,
AUT,EDUADULT,TRY,MEN,A,2012,30.735928,
AUT,EDUADULT,TRY,MEN,A,2013,31.345707,
AUT,EDUADULT,TRY,MEN,A,2014,31.201277,
AUT,EDUADULT,TRY,MEN,A,2015,31.968834,
AUT,EDUADULT,TRY,MEN,A,2016,32.170181,
AUT,EDUADULT,TRY,MEN,A,2017,32.91766,
AUT,EDUADULT,TRY,MEN,A,2018,33.656857,
AUT,EDUADULT,TRY,MEN,A,2019,34.190922,
AUT,EDUADULT,TRY,MEN,A,2020,34.398293,
AUT,EDUADULT,TRY,WOMEN,A,2004,20.959906,
AUT,EDUADULT,TRY,WOMEN,A,2005,21.409132,
AUT,EDUADULT,TRY,WOMEN,A,2006,22.137461,
AUT,EDUADULT,TRY,WOMEN,A,2007,22.145061,
AUT,EDUADULT,TRY,WOMEN,A,2008,23.499393,
AUT,EDUADULT,TRY,WOMEN,A,2009,24.682976,
AUT,EDUADULT,TRY,WOMEN,A,2010,25.881966,
AUT,EDUADULT,TRY,WOMEN,A,2011,25.959198,
AUT,EDUADULT,TRY,WOMEN,A,2012,26.770844,
AUT,EDUADULT,TRY,WOMEN,A,2013,28.151951,
AUT,EDUADULT,TRY,WOMEN,A,2014,28.621651,
AUT,EDUADULT,TRY,WOMEN,A,2015,29.142385,
AUT,EDUADULT,TRY,WOMEN,A,2016,30.600239,
AUT,EDUADULT,TRY,WOMEN,A,2017,31.872847,
AUT,EDUADULT,TRY,WOMEN,A,2018,31.769451,
AUT,EDUADULT,TRY,WOMEN,A,2019,33.357452,
AUT,EDUADULT,TRY,WOMEN,A,2020,34.013531,
AUT,EDUADULT,UPPSRY,MEN,A,2004,54.158627,
AUT,EDUADULT,UPPSRY,MEN,A,2005,55.829376,
AUT,EDUADULT,UPPSRY,MEN,A,2006,57.74194,
AUT,EDUADULT,UPPSRY,MEN,A,2007,58.094372,
AUT,EDUADULT,UPPSRY,MEN,A,2008,57.617115,
AUT,EDUADULT,UPPSRY,MEN,A,2009,58.11142,
AUT,EDUADULT,UPPSRY,MEN,A,2010,57.820152,
AUT,EDUADULT,UPPSRY,MEN,A,2011,57.245796,
AUT,EDUADULT,UPPSRY,MEN,A,2012,56.999569,
AUT,EDUADULT,UPPSRY,MEN,A,2013,56.057396,
AUT,EDUADULT,UPPSRY,MEN,A,2014,56.800148,
AUT,EDUADULT,UPPSRY,MEN,A,2015,56.698669,
AUT,EDUADULT,UPPSRY,MEN,A,2016,56.066723,
AUT,EDUADULT,UPPSRY,MEN,A,2017,55.365974,
AUT,EDUADULT,UPPSRY,MEN,A,2018,55.005234,
AUT,EDUADULT,UPPSRY,MEN,A,2019,54.225082,
AUT,EDUADULT,UPPSRY,MEN,A,2020,53.847668,
AUT,EDUADULT,UPPSRY,WOMEN,A,2004,48.966152,
AUT,EDUADULT,UPPSRY,WOMEN,A,2005,48.808769,
AUT,EDUADULT,UPPSRY,WOMEN,A,2006,51.825451,
AUT,EDUADULT,UPPSRY,WOMEN,A,2007,51.621788,
AUT,EDUADULT,UPPSRY,WOMEN,A,2008,51.788177,
AUT,EDUADULT,UPPSRY,WOMEN,A,2009,51.423588,
AUT,EDUADULT,UPPSRY,WOMEN,A,2010,51.436245,
AUT,EDUADULT,UPPSRY,WOMEN,A,2011,51.605766,
AUT,EDUADULT,UPPSRY,WOMEN,A,2012,51.391518,
AUT,EDUADULT,UPPSRY,WOMEN,A,2013,50.444016,
AUT,EDUADULT,UPPSRY,WOMEN,A,2014,51.130924,
AUT,EDUADULT,UPPSRY,WOMEN,A,2015,51.515179,
AUT,EDUADULT,UPPSRY,WOMEN,A,2016,50.231434,
AUT,EDUADULT,UPPSRY,WOMEN,A,2017,49.77932,
AUT,EDUADULT,UPPSRY,WOMEN,A,2018,50.175697,
AUT,EDUADULT,UPPSRY,WOMEN,A,2019,49.360409,
AUT,EDUADULT,UPPSRY,WOMEN,A,2020,49.058273,
BEL,EDUADULT,TRY,MEN,A,2000,26.565285,
BEL,EDUADULT,TRY,MEN,A,2001,27.138931,
BEL,EDUADULT,TRY,MEN,A,2002,27.368948,
BEL,EDUADULT,TRY,MEN,A,2003,28.251083,
BEL,EDUADULT,TRY,MEN,A,2004,29.457916,
BEL,EDUADULT,TRY,MEN,A,2005,29.889402,
BEL,EDUADULT,TRY,MEN,A,2006,30.530073,
BEL,EDUADULT,TRY,MEN,A,2007,30.484745,
BEL,EDUADULT,TRY,MEN,A,2008,30.659477,
BEL,EDUADULT,TRY,MEN,A,2009,31.480886,
BEL,EDUADULT,TRY,MEN,A,2010,33.003326,
BEL,EDUADULT,TRY,MEN,A,2011,32.419769,
BEL,EDUADULT,TRY,MEN,A,2012,32.722958,
BEL,EDUADULT,TRY,MEN,A,2013,32.801338,
BEL,EDUADULT,TRY,MEN,A,2014,33.864967,
BEL,EDUADULT,TRY,MEN,A,2015,33.639149,
BEL,EDUADULT,TRY,MEN,A,2016,34.192955,
BEL,EDUADULT,TRY,MEN,A,2017,36.858852,
BEL,EDUADULT,TRY,MEN,A,2018,36.94939,
BEL,EDUADULT,TRY,MEN,A,2019,36.542046,
BEL,EDUADULT,TRY,MEN,A,2020,37.938366,
BEL,EDUADULT,TRY,WOMEN,A,2000,27.610184,
BEL,EDUADULT,TRY,WOMEN,A,2001,28.119604,
BEL,EDUADULT,TRY,WOMEN,A,2002,28.908737,
BEL,EDUADULT,TRY,WOMEN,A,2003,29.820688,
BEL,EDUADULT,TRY,WOMEN,A,2004,31.359032,
BEL,EDUADULT,TRY,WOMEN,A,2005,32.211079,
BEL,EDUADULT,TRY,WOMEN,A,2006,32.99017,
BEL,EDUADULT,TRY,WOMEN,A,2007,33.718624,
BEL,EDUADULT,TRY,WOMEN,A,2008,33.974564,
BEL,EDUADULT,TRY,WOMEN,A,2009,35.328266,
BEL,EDUADULT,TRY,WOMEN,A,2010,36.989594,
BEL,EDUADULT,TRY,WOMEN,A,2011,36.821182,
BEL,EDUADULT,TRY,WOMEN,A,2012,37.926952,
BEL,EDUADULT,TRY,WOMEN,A,2013,38.285236,
BEL,EDUADULT,TRY,WOMEN,A,2014,39.860054,
BEL,EDUADULT,TRY,WOMEN,A,2015,40.091373,
BEL,EDUADULT,TRY,WOMEN,A,2016,40.828674,
BEL,EDUADULT,TRY,WOMEN,A,2017,43.657627,
BEL,EDUADULT,TRY,WOMEN,A,2018,44.334103,
BEL,EDUADULT,TRY,WOMEN,A,2019,44.806469,
BEL,EDUADULT,TRY,WOMEN,A,2020,46.957001,
BEL,EDUADULT,UPPSRY,MEN,A,2000,32.141563,
BEL,EDUADULT,UPPSRY,MEN,A,2001,32.879974,
BEL,EDUADULT,UPPSRY,MEN,A,2002,33.592075,
BEL,EDUADULT,UPPSRY,MEN,A,2003,33.779175,
BEL,EDUADULT,UPPSRY,MEN,A,2004,35.20274,
BEL,EDUADULT,UPPSRY,MEN,A,2005,36.364876,
BEL,EDUADULT,UPPSRY,MEN,A,2006,36.351009,
BEL,EDUADULT,UPPSRY,MEN,A,2007,37.612984,
BEL,EDUADULT,UPPSRY,MEN,A,2008,38.871017,
BEL,EDUADULT,UPPSRY,MEN,A,2009,38.936413,
BEL,EDUADULT,UPPSRY,MEN,A,2010,36.970116,
BEL,EDUADULT,UPPSRY,MEN,A,2011,38.225685,
BEL,EDUADULT,UPPSRY,MEN,A,2012,38.017979,
BEL,EDUADULT,UPPSRY,MEN,A,2013,38.914539,
BEL,EDUADULT,UPPSRY,MEN,A,2014,38.559349,
BEL,EDUADULT,UPPSRY,MEN,A,2015,39.955494,
BEL,EDUADULT,UPPSRY,MEN,A,2016,40.122162,
BEL,EDUADULT,UPPSRY,MEN,A,2017,39.073261,
BEL,EDUADULT,UPPSRY,MEN,A,2018,40.415058,
BEL,EDUADULT,UPPSRY,MEN,A,2019,40.611317,
BEL,EDUADULT,UPPSRY,MEN,A,2020,40.329418,
BEL,EDUADULT,UPPSRY,WOMEN,A,2000,30.72747,
BEL,EDUADULT,UPPSRY,WOMEN,A,2001,30.782875,
BEL,EDUADULT,UPPSRY,WOMEN,A,2002,31.735352,
BEL,EDUADULT,UPPSRY,WOMEN,A,2003,32.244953,
BEL,EDUADULT,UPPSRY,WOMEN,A,2004,32.557869,
BEL,EDUADULT,UPPSRY,WOMEN,A,2005,33.725727,
BEL,EDUADULT,UPPSRY,WOMEN,A,2006,34.013424,
BEL,EDUADULT,UPPSRY,WOMEN,A,2007,34.089268,
