"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","MLN_PER","A","2020",25.698093,
"AUT","POP","TOT","MLN_PER","A","2020",8.916845,
"BEL","POP","TOT","MLN_PER","A","2020",11.506938,
"CAN","POP","TOT","MLN_PER","A","2020",38.005238,
"CZE","POP","TOT","MLN_PER","A","2020",10.700155,
"DNK","POP","TOT","MLN_PER","A","2020",5.825337,
"FIN","POP","TOT","MLN_PER","A","2020",5.529545,
"FRA","POP","TOT","MLN_PER","A","2020",67.347238,
"DEU","POP","TOT","MLN_PER","A","2020",83.160874,
"GRC","POP","TOT","MLN_PER","A","2020",10.707972,
"HUN","POP","TOT","MLN_PER","A","2020",9.750153,
"ISL","POP","TOT","MLN_PER","A","2020",0.366462,
"IRL","POP","TOT","MLN_PER","A","2020",4.977443,
"ITA","POP","TOT","MLN_PER","A","2020",59.449527,
"JPN","POP","TOT","MLN_PER","A","2020",125.708,
"KOR","POP","TOT","MLN_PER","A","2020",51.780579,
"LUX","POP","TOT","MLN_PER","A","2020",0.630413,
"MEX","POP","TOT","MLN_PER","A","2020",127.792286,
"NLD","POP","TOT","MLN_PER","A","2020",17.4415,
"NZL","POP","TOT","MLN_PER","A","2020",5.0936,
"NOR","POP","TOT","MLN_PER","A","2020",5.379472,
"POL","POP","TOT","MLN_PER","A","2020",38.354173,
"PRT","POP","TOT","MLN_PER","A","2020",10.2970805,
"SVK","POP","TOT","MLN_PER","A","2020",5.458827,
"ESP","POP","TOT","MLN_PER","A","2020",47.351567,
"SWE","POP","TOT","MLN_PER","A","2020",10.353444,
"CHE","POP","TOT","MLN_PER","A","2020",8.636563,
"TUR","POP","TOT","MLN_PER","A","2020",83.384688,
"GBR","POP","TOT","MLN_PER","A","2020",67.081234,
"USA","POP","TOT","MLN_PER","A","2020",329.484123,
"BRA","POP","TOT","MLN_PER","A","2020",211.755692,
"CHL","POP","TOT","MLN_PER","A","2020",19.45831,
"COL","POP","TOT","MLN_PER","A","2020",50.911747,
"EST","POP","TOT","MLN_PER","A","2020",1.329479,
"ISR","POP","TOT","MLN_PER","A","2020",9.2151,
"RUS","POP","TOT","MLN_PER","A","2020",146.459803,
"SVN","POP","TOT","MLN_PER","A","2020",2.100126,
"CHN","POP","TOT","MLN_PER","A","2020",1439.323774,
"IND","POP","TOT","MLN_PER","A","2020",1380.004385,
"IDN","POP","TOT","MLN_PER","A","2020",269.6034,
"ZAF","POP","TOT","MLN_PER","A","2020",59.538697,
"OECD","POP","TOT","MLN_PER","A","2020",1368.99070771647,
"LVA","POP","TOT","MLN_PER","A","2020",1.900448,
"ARG","POP","TOT","MLN_PER","A","2020",45.376763,
"BGR","POP","TOT","MLN_PER","A","2020",6.934015,
"CRI","POP","TOT","MLN_PER","A","2020",5.11123821646865,
"HRV","POP","TOT","MLN_PER","A","2020",4.0477,
"CYP","POP","TOT","MLN_PER","A","2020",0.892828,
"LTU","POP","TOT","MLN_PER","A","2020",2.79489,
"MLT","POP","TOT","MLN_PER","A","2020",0.520193,
"ROU","POP","TOT","MLN_PER","A","2020",19.260218,
"SAU","POP","TOT","MLN_PER","A","2020",35.013414,
"SGP","POP","TOT","MLN_PER","A","2020",4.04421,
"WLD","POP","TOT","MLN_PER","A","2020",7794.798729,
"G20","POP","TOT","MLN_PER","A","2020",4883.5490975,
"EU27","POP","TOT","MLN_PER","A","2020",447.5389285,
