LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Value_fixed,Flag Codes
AUS,POP,WOMEN,MLN_PER,A,2020,12961.702,12.961702,
AUT,POP,WOMEN,MLN_PER,A,2020,4528.725,4.528725,
BEL,POP,WOMEN,MLN_PER,A,2020,5838.303,5.838303,
CAN,POP,WOMEN,MLN_PER,A,2020,19119.977,19.119977,
CZE,POP,WOMEN,MLN_PER,A,2020,5425.995,5.425995,
DNK,POP,WOMEN,MLN_PER,A,2020,2927.681,2.927681,
FIN,POP,WOMEN,MLN_PER,A,2020,2798.508,2.798508,
FRA,POP,WOMEN,MLN_PER,A,2020,34808.722,34.808722,
DEU,POP,WOMEN,MLN_PER,A,2020,42128.807,42.128807,
GRC,POP,WOMEN,MLN_PER,A,2020,5504.661,5.504661,
HUN,POP,WOMEN,MLN_PER,A,2020,5077.857,5.077857,
ISL,POP,WOMEN,MLN_PER,A,2020,178.473,0.178473,
IRL,POP,WOMEN,MLN_PER,A,2020,2511.872,2.511872,
ITA,POP,WOMEN,MLN_PER,A,2020,30492.434,30.492434,
JPN,POP,WOMEN,MLN_PER,A,2020,64554,64.554,
KOR,POP,WOMEN,MLN_PER,A,2020,25834.842,25.834842,
LUX,POP,WOMEN,MLN_PER,A,2020,313.207,0.313207,
MEX,POP,WOMEN,MLN_PER,A,2020,65224.66,65.22466,
NLD,POP,WOMEN,MLN_PER,A,2020,8774.214,8.774214,
NZL,POP,WOMEN,MLN_PER,A,2020,2564.8,2.5648,
NOR,POP,WOMEN,MLN_PER,A,2020,2666.563,2.666563,
POL,POP,WOMEN,MLN_PER,A,2020,19802.471,19.802471,
PRT,POP,WOMEN,MLN_PER,A,2020,5437.7175,5.4377175,
SVK,POP,WOMEN,MLN_PER,A,2020,2792.909,2.792909,
ESP,POP,WOMEN,MLN_PER,A,2020,24144.815,24.144815,
SWE,POP,WOMEN,MLN_PER,A,2020,5144.111,5.144111,
CHE,POP,WOMEN,MLN_PER,A,2020,4351.678,4.351678,
TUR,POP,WOMEN,MLN_PER,A,2020,41566.123,41.566123,
GBR,POP,WOMEN,MLN_PER,A,2020,33935.525,33.935525,
USA,POP,WOMEN,MLN_PER,A,2020,167227.921,167.227921,
BRA,POP,WOMEN,MLN_PER,A,2020,108228.003,108.228003,
CHL,POP,WOMEN,MLN_PER,A,2020,9859.209,9.859209,
COL,POP,WOMEN,MLN_PER,A,2020,25772.783,25.772783,
EST,POP,WOMEN,MLN_PER,A,2020,699.398,0.699398,
ISR,POP,WOMEN,MLN_PER,A,2020,4639.5,4.6395,
RUS,POP,WOMEN,MLN_PER,A,2020,78474.368,78.474368,
SVN,POP,WOMEN,MLN_PER,A,2020,1045.643,1.045643,
LVA,POP,WOMEN,MLN_PER,A,2020,1022.36,1.02236,
ARG,POP,WOMEN,MLN_PER,A,2020,23103.631,23.103631,
BGR,POP,WOMEN,MLN_PER,A,2020,3574.3345,3.5743345,
CHN,POP,WOMEN,MLN_PER,A,2020,701076.434,701.076434,
CRI,POP,WOMEN,MLN_PER,A,2020,2535.687867,2.535687867,
HRV,POP,WOMEN,MLN_PER,A,2020,2080,2.08,
CYP,POP,WOMEN,MLN_PER,A,2020,456.516,0.456516,
IND,POP,WOMEN,MLN_PER,A,2020,662903.415,662.903415,
IDN,POP,WOMEN,MLN_PER,A,2020,134266.4,134.2664,
LTU,POP,WOMEN,MLN_PER,A,2020,1485.91,1.48591,
MLT,POP,WOMEN,MLN_PER,A,2020,253.24,0.25324,
ROU,POP,WOMEN,MLN_PER,A,2020,9840.455,9.840455,
SAU,POP,WOMEN,MLN_PER,A,2020,14781.989,14.781989,
SGP,POP,WOMEN,MLN_PER,A,2020,2066.654,2.066654,
ZAF,POP,WOMEN,MLN_PER,A,2020,30452.449,30.452449,
WLD,POP,WOMEN,MLN_PER,A,2020,3864824.776,3864.824776,
G20,POP,WOMEN,MLN_PER,A,2020,2412622.305,2412.622305,
OECD,POP,WOMEN,MLN_PER,A,2020,695699.7644,695.6997644,
EU27,POP,WOMEN,MLN_PER,A,2020,228910.866,228.910866,
