LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,value_fixed,Flag Codes
AUS,POP,WOMEN,MLN_PER,A,2000,9585.337,9.585337,
AUS,POP,WOMEN,MLN_PER,A,2001,9712.875,9.712875,
AUS,POP,WOMEN,MLN_PER,A,2002,9819.727,9.819727,
AUS,POP,WOMEN,MLN_PER,A,2003,9933.14,9.93314,
AUS,POP,WOMEN,MLN_PER,A,2004,10036.771,10.036771,
AUS,POP,WOMEN,MLN_PER,A,2005,10157.211,10.157211,
AUS,POP,WOMEN,MLN_PER,A,2006,10291.542,10.291542,
AUS,POP,WOMEN,MLN_PER,A,2007,10473.986,10.473986,
AUS,POP,WOMEN,MLN_PER,A,2008,10677.154,10.677154,
AUS,POP,WOMEN,MLN_PER,A,2009,10890.856,10.890856,
AUS,POP,WOMEN,MLN_PER,A,2010,11063.919,11.063919,
AUS,POP,WOMEN,MLN_PER,A,2011,11221.79,11.22179,
AUS,POP,WOMEN,MLN_PER,A,2012,11420.486,11.420486,
AUS,POP,WOMEN,MLN_PER,A,2013,11621.964,11.621964,
AUS,POP,WOMEN,MLN_PER,A,2014,11807.8,11.8078,
AUS,POP,WOMEN,MLN_PER,A,2015,11988.343,11.988343,
AUS,POP,WOMEN,MLN_PER,A,2016,12187.868,12.187868,
AUS,POP,WOMEN,MLN_PER,A,2017,12398.09,12.39809,
AUS,POP,WOMEN,MLN_PER,A,2018,12591.646,12.591646,
AUS,POP,WOMEN,MLN_PER,A,2019,12786.368,12.786368,
AUS,POP,WOMEN,MLN_PER,A,2020,12961.702,12.961702,
AUT,POP,WOMEN,MLN_PER,A,2000,4136.849,4.136849,
AUT,POP,WOMEN,MLN_PER,A,2001,4148.373,4.148373,
AUT,POP,WOMEN,MLN_PER,A,2002,4163.181,4.163181,
AUT,POP,WOMEN,MLN_PER,A,2003,4177.96,4.17796,
AUT,POP,WOMEN,MLN_PER,A,2004,4201.74,4.20174,
AUT,POP,WOMEN,MLN_PER,A,2005,4226.326,4.226326,
AUT,POP,WOMEN,MLN_PER,A,2006,4245.432,4.245432,
AUT,POP,WOMEN,MLN_PER,A,2007,4258.641,4.258641,
AUT,POP,WOMEN,MLN_PER,A,2008,4271.326,4.271326,
AUT,POP,WOMEN,MLN_PER,A,2009,4280.288,4.280288,
AUT,POP,WOMEN,MLN_PER,A,2010,4289.296,4.289296,
AUT,POP,WOMEN,MLN_PER,A,2011,4301.346,4.301346,
AUT,POP,WOMEN,MLN_PER,A,2012,4316.88,4.31688,
AUT,POP,WOMEN,MLN_PER,A,2013,4338.537,4.338537,
AUT,POP,WOMEN,MLN_PER,A,2014,4367.382,4.367382,
AUT,POP,WOMEN,MLN_PER,A,2015,4400.443,4.400443,
AUT,POP,WOMEN,MLN_PER,A,2016,4444.642,4.444642,
AUT,POP,WOMEN,MLN_PER,A,2017,4470.336,4.470336,
AUT,POP,WOMEN,MLN_PER,A,2018,4490.959,4.490959,
AUT,POP,WOMEN,MLN_PER,A,2019,4510.346,4.510346,
AUT,POP,WOMEN,MLN_PER,A,2020,4528.725,4.528725,
BEL,POP,WOMEN,MLN_PER,A,2000,5239.235,5.239235,
BEL,POP,WOMEN,MLN_PER,A,2001,5256.415,5.256415,
BEL,POP,WOMEN,MLN_PER,A,2002,5278.199,5.278199,
BEL,POP,WOMEN,MLN_PER,A,2003,5299.099,5.299099,
BEL,POP,WOMEN,MLN_PER,A,2004,5321.887,5.321887,
BEL,POP,WOMEN,MLN_PER,A,2005,5351.044,5.351044,
BEL,POP,WOMEN,MLN_PER,A,2006,5385.342,5.385342,
BEL,POP,WOMEN,MLN_PER,A,2007,5422.842,5.422842,
BEL,POP,WOMEN,MLN_PER,A,2008,5463.494,5.463494,
BEL,POP,WOMEN,MLN_PER,A,2009,5506.058,5.506058,
BEL,POP,WOMEN,MLN_PER,A,2010,5554.363,5.554363,
BEL,POP,WOMEN,MLN_PER,A,2011,5601.593,5.601593,
BEL,POP,WOMEN,MLN_PER,A,2012,5637.105,5.637105,
BEL,POP,WOMEN,MLN_PER,A,2013,5664.133,5.664133,
BEL,POP,WOMEN,MLN_PER,A,2014,5690.077,5.690077,
BEL,POP,WOMEN,MLN_PER,A,2015,5717.162,5.717162,
BEL,POP,WOMEN,MLN_PER,A,2016,5742.234,5.742234,
BEL,POP,WOMEN,MLN_PER,A,2017,5766.124,5.766124,
BEL,POP,WOMEN,MLN_PER,A,2018,5790.674,5.790674,
BEL,POP,WOMEN,MLN_PER,A,2019,5817.88,5.81788,
