"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","MEN","MLN_PER","A","2020",12.736391,
"AUT","POP","MEN","MLN_PER","A","2020",4.38812,
"BEL","POP","MEN","MLN_PER","A","2020",5.668635,
"CAN","POP","MEN","MLN_PER","A","2020",18.885261,
"CZE","POP","MEN","MLN_PER","A","2020",5.27416,
"DNK","POP","MEN","MLN_PER","A","2020",2.897656,
"FIN","POP","MEN","MLN_PER","A","2020",2.731037,
"FRA","POP","MEN","MLN_PER","A","2020",32.538516,
"DEU","POP","MEN","MLN_PER","A","2020",41.032067,
"GRC","POP","MEN","MLN_PER","A","2020",5.203311,
"HUN","POP","MEN","MLN_PER","A","2020",4.672296,
"ISL","POP","MEN","MLN_PER","A","2020",0.187989,
"IRL","POP","MEN","MLN_PER","A","2020",2.465571,
"ITA","POP","MEN","MLN_PER","A","2020",28.957093,
"JPN","POP","MEN","MLN_PER","A","2020",61.155,
"KOR","POP","MEN","MLN_PER","A","2020",25.945737,
"LUX","POP","MEN","MLN_PER","A","2020",0.317206,
"MEX","POP","MEN","MLN_PER","A","2020",62.567626,
"NLD","POP","MEN","MLN_PER","A","2020",8.667286,
"NZL","POP","MEN","MLN_PER","A","2020",2.5288,
"NOR","POP","MEN","MLN_PER","A","2020",2.712909,
"POL","POP","MEN","MLN_PER","A","2020",18.551702,
"PRT","POP","MEN","MLN_PER","A","2020",4.859363,
"SVK","POP","MEN","MLN_PER","A","2020",2.665918,
"ESP","POP","MEN","MLN_PER","A","2020",23.206752,
"SWE","POP","MEN","MLN_PER","A","2020",5.209333,
"CHE","POP","MEN","MLN_PER","A","2020",4.284885,
"TUR","POP","MEN","MLN_PER","A","2020",41.818565,
"GBR","POP","MEN","MLN_PER","A","2020",33.145709,
"USA","POP","MEN","MLN_PER","A","2020",162.256202,
"BRA","POP","MEN","MLN_PER","A","2020",103.527689,
"CHL","POP","MEN","MLN_PER","A","2020",9.599101,
"COL","POP","MEN","MLN_PER","A","2020",25.138964,
"EST","POP","MEN","MLN_PER","A","2020",0.630081,
"ISR","POP","MEN","MLN_PER","A","2020",4.5756,
"RUS","POP","MEN","MLN_PER","A","2020",67.985435,
"SVN","POP","MEN","MLN_PER","A","2020",1.054483,
"LVA","POP","MEN","MLN_PER","A","2020",0.878088,
"ARG","POP","MEN","MLN_PER","A","2020",22.273132,
"BGR","POP","MEN","MLN_PER","A","2020",3.3596805,
"CHN","POP","MEN","MLN_PER","A","2020",738.24734,
"CRI","POP","MEN","MLN_PER","A","2020",2.57555034955573,
"HRV","POP","MEN","MLN_PER","A","2020",1.9677,
"CYP","POP","MEN","MLN_PER","A","2020",0.436312,
"IND","POP","MEN","MLN_PER","A","2020",717.10097,
"IDN","POP","MEN","MLN_PER","A","2020",135.337,
"LTU","POP","MEN","MLN_PER","A","2020",1.30898,
"MLT","POP","MEN","MLN_PER","A","2020",0.266953,
"ROU","POP","MEN","MLN_PER","A","2020",9.419763,
"SAU","POP","MEN","MLN_PER","A","2020",20.231425,
"SGP","POP","MEN","MLN_PER","A","2020",1.977556,
"ZAF","POP","MEN","MLN_PER","A","2020",29.086248,
"WLD","POP","MEN","MLN_PER","A","2020",3929.973953,
"G20","POP","MEN","MLN_PER","A","2020",2470.9277925,
"OECD","POP","MEN","MLN_PER","A","2020",673.291943349556,
"EU27","POP","MEN","MLN_PER","A","2020",218.6280625,
