"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","MEN","MLN_PER","A","2000",9.443465,
"AUS","POP","MEN","MLN_PER","A","2001",9.561826,
"AUS","POP","MEN","MLN_PER","A","2002",9.675483,
"AUS","POP","MEN","MLN_PER","A","2003",9.787597,
"AUS","POP","MEN","MLN_PER","A","2004",9.895951,
"AUS","POP","MEN","MLN_PER","A","2005",10.019633,
"AUS","POP","MEN","MLN_PER","A","2006",10.159424,
"AUS","POP","MEN","MLN_PER","A","2007",10.353636,
"AUS","POP","MEN","MLN_PER","A","2008",10.572045,
"AUS","POP","MEN","MLN_PER","A","2009",10.800797,
"AUS","POP","MEN","MLN_PER","A","2010",10.967831,
"AUS","POP","MEN","MLN_PER","A","2011",11.118234,
"AUS","POP","MEN","MLN_PER","A","2012",11.312979,
"AUS","POP","MEN","MLN_PER","A","2013",11.506165,
"AUS","POP","MEN","MLN_PER","A","2014",11.667886,
"AUS","POP","MEN","MLN_PER","A","2015",11.827652,
"AUS","POP","MEN","MLN_PER","A","2016",12.003039,
"AUS","POP","MEN","MLN_PER","A","2017",12.20377,
"AUS","POP","MEN","MLN_PER","A","2018",12.391042,
"AUS","POP","MEN","MLN_PER","A","2019",12.579377,
"AUS","POP","MEN","MLN_PER","A","2020",12.736391,
"AUT","POP","MEN","MLN_PER","A","2000",3.874717,
"AUT","POP","MEN","MLN_PER","A","2001",3.89392,
"AUT","POP","MEN","MLN_PER","A","2002",3.91894,
"AUT","POP","MEN","MLN_PER","A","2003",3.940285,
"AUT","POP","MEN","MLN_PER","A","2004",3.967701,
"AUT","POP","MEN","MLN_PER","A","2005",3.998952,
"AUT","POP","MEN","MLN_PER","A","2006",4.022516,
"AUT","POP","MEN","MLN_PER","A","2007",4.036548,
"AUT","POP","MEN","MLN_PER","A","2008",4.050215,
"AUT","POP","MEN","MLN_PER","A","2009",4.061195,
"AUT","POP","MEN","MLN_PER","A","2010",4.071773,
"AUT","POP","MEN","MLN_PER","A","2011",4.087188,
"AUT","POP","MEN","MLN_PER","A","2012",4.109431,
"AUT","POP","MEN","MLN_PER","A","2013",4.138693,
"AUT","POP","MEN","MLN_PER","A","2014",4.17655,
"AUT","POP","MEN","MLN_PER","A","2015",4.229076,
"AUT","POP","MEN","MLN_PER","A","2016",4.295164,
"AUT","POP","MEN","MLN_PER","A","2017",4.324737,
"AUT","POP","MEN","MLN_PER","A","2018",4.346748,
