"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2017",53437.0587542119,
"AUS","AVWAGE","TOT","USD","A","2018",53514.8272246821,
"AUS","AVWAGE","TOT","USD","A","2019",54020.7914912353,
"AUS","AVWAGE","TOT","USD","A","2020",55206.3936635827,
"AUT","AVWAGE","TOT","USD","A","2017",53136.3529599885,
"AUT","AVWAGE","TOT","USD","A","2018",53325.4860218118,
"AUT","AVWAGE","TOT","USD","A","2019",53690.0313784628,
"AUT","AVWAGE","TOT","USD","A","2020",53131.8472601512,
"BEL","AVWAGE","TOT","USD","A","2017",55130.1819736769,
"BEL","AVWAGE","TOT","USD","A","2018",55387.6952980387,
"BEL","AVWAGE","TOT","USD","A","2019",56021.805353764,
"BEL","AVWAGE","TOT","USD","A","2020",54326.5981747548,
"CAN","AVWAGE","TOT","USD","A","2017",52765.0691285916,
"CAN","AVWAGE","TOT","USD","A","2018",53730.1078984874,
"CAN","AVWAGE","TOT","USD","A","2019",54119.3098746597,
"CAN","AVWAGE","TOT","USD","A","2020",55342.0428953064,
"CZE","AVWAGE","TOT","USD","A","2017",27930.6903631665,
"CZE","AVWAGE","TOT","USD","A","2018",29420.908126491,
"CZE","AVWAGE","TOT","USD","A","2019",30354.8487119961,
"CZE","AVWAGE","TOT","USD","A","2020",29884.5888161355,
"DNK","AVWAGE","TOT","USD","A","2017",57355.1151555023,
"DNK","AVWAGE","TOT","USD","A","2018",57794.204719732,
"DNK","AVWAGE","TOT","USD","A","2019",57967.3139494302,
"DNK","AVWAGE","TOT","USD","A","2020",58429.6521388968,
"FIN","AVWAGE","TOT","USD","A","2017",45338.7564886381,
"FIN","AVWAGE","TOT","USD","A","2018",45770.8422682442,
"FIN","AVWAGE","TOT","USD","A","2019",46248.5762458008,
"FIN","AVWAGE","TOT","USD","A","2020",46229.570198901,
"FRA","AVWAGE","TOT","USD","A","2017",46852.3529811014,
"FRA","AVWAGE","TOT","USD","A","2018",46866.5200153424,
"FRA","AVWAGE","TOT","USD","A","2019",47112.3891580859,
"FRA","AVWAGE","TOT","USD","A","2020",45580.7045304337,
"DEU","AVWAGE","TOT","USD","A","2017",52454.1460775367,
"DEU","AVWAGE","TOT","USD","A","2018",53220.549493405,
"DEU","AVWAGE","TOT","USD","A","2019",54041.3564696298,
"DEU","AVWAGE","TOT","USD","A","2020",53744.9986010753,
"GRC","AVWAGE","TOT","USD","A","2017",26418.3391833541,
"GRC","AVWAGE","TOT","USD","A","2018",26680.2868759527,
"GRC","AVWAGE","TOT","USD","A","2019",27010.0396057715,
"GRC","AVWAGE","TOT","USD","A","2020",27207.3239886219,
"HUN","AVWAGE","TOT","USD","A","2017",22586.13445313,
"HUN","AVWAGE","TOT","USD","A","2018",23720.56899299,
"HUN","AVWAGE","TOT","USD","A","2019",24470.7998075188,
"HUN","AVWAGE","TOT","USD","A","2020",25408.61292954,
"IRL","AVWAGE","TOT","USD","A","2017",48375.9194517704,
"IRL","AVWAGE","TOT","USD","A","2018",48586.2310145431,
"IRL","AVWAGE","TOT","USD","A","2019",49509.0271779156,
